CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE,Another NEW Predicated Delivery Date
FDCU0574040,ONE MANHATTAN,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",4/30/2021,5/10/2021,6/4/2021,7/7/2021,7/11/2021,7/15/2021,Yes,7/14/2021,?
OOLU8619684,OOCL SOUTHAMPTON,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/4/2021,4/11/2021,4/27/2021,5/18/2021,5/22/2021,5/24/2021,,,?
FSCU8010642,MSC AURIGA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/31/2021,6/1/2021,7/22/2021,7/16/2021,8/8/2021,7/26/2021,Yes,7/26/2021,?
TCKU6977321,THALASSA AXIA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Sokhna Port, As Suways, Egypt","Ain Sokhna, Suez Governorate, Egypt",3/22/2021,3/24/2021,4/17/2021,,5/4/2021,4/21/2021,,,?
TRHU8229672,ONE MATRIX,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",6/3/2021,6/13/2021,7/14/2021,7/9/2021,7/31/2021,8/24/2021,Yes,7/15/2021,?
HLBU2469434,SEASPAN ADONIS,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",6/24/2021,6/29/2021,8/14/2021,8/18/2021,8/22/2021,8/24/2021,Yes,8/26/2021,?
MSDU7271806,MSC VALERIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",7/16/2021,7/20/2021,8/30/2021,9/6/2021,9/10/2021,9/4/2021,Yes,9/8/2021,?
OOLU8232885,OOCL TAIPEI,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",8/10/2021,8/22/2021,9/12/2021,9/18/2021,9/17/2021,9/14/2021,Yes,1/13/2022,?
TRLU7212159,OOCL UTAH,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/19/2021,3/22/2021,4/11/2021,4/17/2021,4/21/2021,4/21/2021,,,?
FCIU9532719,COSCO SHIPPING SCORPIO,,"Hai'an, Jiangsu Sheng, China","Shanghai, Shanghai Shi, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",9/24/2020,10/3/2020,11/3/2020,11/11/2020,11/15/2020,4/21/2021,,,?
TCNU8609241,CMA CGM CHILE,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",7/6/2021,7/9/2021,8/12/2021,8/19/2021,8/19/2021,8/24/2021,Yes,8/19/2021,?
CCLU5304604,,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",9/5/2021,9/5/2021,9/21/2021,9/30/2021,10/1/2021,9/30/2021,Yes,10/4/2021,?
APHU7096910,CMA CGM CENTAURUS,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",5/14/2021,5/14/2021,7/23/2021,8/12/2021,8/16/2021,7/1/2021,Yes,8/18/2021,?
OOLU9955180,,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",4/7/2021,4/7/2021,4/24/2021,,5/11/2021,6/9/2021,Yes,6/10/2021,?
HDMU6853527,ONE CONTRIBUTION,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",4/23/2021,4/25/2021,5/25/2021,5/26/2021,6/11/2021,5/24/2021,,,?
EGHU9367480,ONE MARVEL,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",6/5/2021,6/5/2021,,7/22/2021,7/26/2021,7/26/2021,Yes,7/29/2021,?
TXGU5604038,ONE MODERN,YUE SHENG,"Houston, Texas, United States","Houston, Texas, United States","Kaohsiung, Kaohsiung, Taiwan","Taichung, Taiwan, Taiwan",9/7/2021,9/7/2021,10/11/2021,,10/28/2021,9/18/2021,Yes,8/28/2021,?
FFAU2144735,CMA CGM TAGE,YUE SHENG,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",8/1/2021,8/1/2021,8/26/2021,,9/12/2021,8/27/2021,Yes,,?
TGHU6481214,COSCO NETHERLANDS,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",7/27/2021,8/20/2021,9/7/2021,9/18/2021,9/20/2021,9/17/2021,Yes,9/25/2021,?
HASU5151201,MSC DAMLA,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",7/4/2021,7/5/2021,8/11/2021,,8/28/2021,9/17/2021,Yes,9/18/2021,?
MSCU5125666,MAERSK EUREKA,ALPHA,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,7/31/2021,8/9/2021,9/17/2021,,10/4/2021,9/25/2021,Yes,9/29/2021,?
TRHU8536935,MSC EVA,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/18/2021,5/20/2021,7/14/2021,8/7/2021,8/11/2021,6/29/2021,,,?
MSMU7277776,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/28/2021,5/28/2021,7/7/2021,7/25/2021,7/29/2021,7/30/2021,Yes,7/30/2021,?
HMMU6256068,EVER SAFETY,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",7/10/2021,7/11/2021,9/11/2021,12/31/1899,9/17/2021,9/13/2021,Yes,9/17/2021,?
MEDU4518599,MAERSK ESSEX,LONGSAIL,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",6/28/2021,6/29/2021,8/17/2021,8/19/2021,9/3/2021,9/17/2021,Yes,8/24/2021,?
TRHU6584683,OOCL SOUTHAMPTON,Axiom,"Dallas, Texas, United States","Long Beach, California, United States","Busan, Busan, South Korea","Busan, Busan, South Korea",6/28/2021,7/15/2021,8/7/2021,8/7/2021,8/24/2021,7/31/2021,Yes,6/18/2021,?
HMCU9224824,EVER ETHIC,,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada","Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China",9/28/2021,9/28/2021,10/31/2021,,11/17/2021,10/2/2021,,,?
MEDU8889577,MSC TAMARA,,"Tekirdag, Tekirdag, Turkey","Tekirdag, Tekirdag, Turkey","Altamira, Estado de Tamaulipas, Mexico",,4/12/2021,4/12/2021,,,,4/21/2021,,,?
TCLU8532604,EVER SAFETY,INTERNATIONAL,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",8/4/2021,8/4/2021,9/9/2021,12/31/1899,9/26/2021,9/11/2021,Yes,9/17/2021,?
MSMU7966076,MSC ORION,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/19/2021,5/20/2021,7/15/2021,7/10/2021,8/1/2021,7/19/2021,Yes,7/19/2021,?
BMOU5357456,CMA CGM G.WASHINGTON,LF,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",6/17/2021,6/19/2021,8/8/2021,8/20/2021,8/24/2021,8/24/2021,Yes,8/23/2021,?
TGBU6283161,COSCO SANTOS,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",8/22/2021,8/22/2021,,10/1/2021,10/1/2021,10/2/2021,,10/1/2021,?
HLBU2464216,SUI HAI YUN 693,,,"Huangpu, Guangdong Sheng, China","Casablanca, Casablanca-Settat, Morocco","Casablanca, Casablanca-Settat, Morocco",12/14/2020,12/14/2020,2/13/2021,2/19/2021,2/19/2021,4/21/2021,,,?
OOCU7706094,COSCO SHIPPING ANDES,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/5/2021,4/14/2021,4/29/2021,5/17/2021,5/21/2021,5/24/2021,Yes,5/19/2021,?
CSNU4075501,XIN TAI CANG,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",1/22/2021,1/24/2021,3/26/2021,3/30/2021,4/3/2021,4/21/2021,,,?
OOLU4437315,COSCO SPAIN,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",1/4/2021,1/11/2021,1/30/2021,2/12/2021,2/16/2021,4/21/2021,,,?
OOLU6824838,OOCL LONDON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",1/3/2021,1/10/2021,2/1/2021,2/12/2021,2/16/2021,4/21/2021,,,?
OOLU2927165,COSCO SHIPPING DENALI,,"Dallas, Texas, United States","Long Beach, California, United States","Huangpu, Guangdong Sheng, China","Huangpu, Guangdong Sheng, China",12/10/2020,12/28/2020,2/1/2021,2/4/2021,2/18/2021,4/21/2021,,,?
OOLU8660836,COSCO ITALY,,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/10/2021,3/20/2021,4/7/2021,4/21/2021,4/25/2021,4/21/2021,,,?
OOLU6857960,OOCL LONDON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",3/26/2021,4/4/2021,4/20/2021,5/18/2021,5/22/2021,5/24/2021,Yes,5/21/2021,?
OOLU0360030,NORDTIGER,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",1/27/2021,2/5/2021,3/31/2021,4/19/2021,4/19/2021,4/21/2021,,,?
FFAU3236040,OOCL TOKYO,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",1/31/2021,2/5/2021,2/21/2021,3/6/2021,3/10/2021,4/21/2021,Yes,,?
FDCU0502950,ONE HANOI,,"Nagoya, Aichi-ken, Japan","Nagoya, Aichi-ken, Japan","Izmit, Kocaeli, Turkey","Izmit, Kocaeli, Turkey",3/25/2021,3/30/2021,5/8/2021,5/9/2021,5/25/2021,4/21/2021,,,?
CCLU4746047,COSCO AUCKLAND,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2/24/2021,2/26/2021,4/12/2021,4/15/2021,4/29/2021,4/21/2021,,,?
CAIU4598470,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",7/16/2021,7/17/2021,9/2/2021,9/12/2021,9/16/2021,9/10/2021,Yes,9/13/2021,?
FCIU9540313,,Axiom,,,,"Los Angeles, California, United States",,,,7/10/2021,7/10/2021,7/15/2021,Yes,7/1/2021,?
MSDU8345170,MSC CANDICE,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Vancouver, British Columbia, Canada","Montreal, Quebec, Canada",1/19/2021,1/20/2021,3/9/2021,3/30/2021,4/3/2021,4/21/2021,,,?
OOLU9697167,ST GREEN,,"Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",3/26/2021,4/1/2021,4/3/2021,,4/20/2021,4/21/2021,,,?
OOCU7711629,EVER GLOBE,,"Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",2/26/2021,3/15/2021,4/25/2021,4/25/2021,5/12/2021,4/21/2021,,,?
TCNU1371721,AMALIA C,,", Taiwan, China",", Taiwan, China","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",12/19/2018,12/21/2018,12/31/2018,1/3/2019,1/17/2019,4/21/2021,,,?
HLXU5212597,FANG ZHOU 2,JAS,"Zhuhai, , China","Zhuhai, , China","Los Angeles, California, United States","Dallas, Texas, United States",4/15/2021,4/15/2021,5/21/2021,6/1/2021,6/5/2021,9/6/2021,Yes,6/17/2021,?
TGHU8837691,CMA CGM G.WASHINGTON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",6/17/2021,6/19/2021,8/8/2021,8/18/2021,8/22/2021,8/24/2021,Yes,8/31/2021,?
MSDU8327962,MSC TARANTO,,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Ciudad Lazaro Cardenas, Estado de Michoacan de Ocampo, Mexico","Mexico City, Ciudad de Mexico, Mexico",3/15/2021,3/17/2021,4/22/2021,,5/9/2021,4/21/2021,,,?
ONEU0149860,ONE COMMITMENT,JAS,"Uran, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","Los Angeles, California, United States","Los Angeles, California, United States",4/28/2021,5/9/2021,7/13/2021,7/2/2021,7/30/2021,7/30/2021,Yes,8/2/2021,?
SUDU8602750,MAERSK DENVER,,"Karachi, Sindh, Pakistan","Port Muhammad Bin Qasim, Sindh, Pakistan","Savannah, Georgia, United States","Savannah, Georgia, United States",3/6/2021,3/8/2021,4/29/2021,,5/16/2021,4/21/2021,,,?
TLLU4505403,APL SALALAH,,", Hong Kong, China",", Hong Kong, China","Port of Spain, City of Port of Spain, Trinidad and Tobago","Port of Spain, City of Port of Spain, Trinidad and Tobago",10/25/2019,10/25/2019,12/21/2019,1/2/2020,1/6/2020,4/21/2021,,,?
HLBU3302863,ALS MARS,JAS,,"Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",4/24/2021,4/24/2021,6/14/2021,6/21/2021,6/21/2021,6/29/2021,Yes,6/21/2021,?
UACU5425659,HYUNDAI JUPITER,,,"Shanghai Hongqiao International, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",1/26/2021,1/26/2021,3/9/2021,3/22/2021,3/22/2021,4/21/2021,,,?
FFAU3238470,COSCO SPAIN,,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Keelung, Taiwan, Taiwan",3/18/2021,3/26/2021,4/10/2021,,4/27/2021,4/21/2021,,,?
TEMU6038610,COSCO JAPAN,,"Subic, Central Luzon, Philippines","Subic, Central Luzon, Philippines","Long Beach, California, United States","Los Angeles, California, United States",12/2/2020,12/3/2020,2/2/2021,2/5/2021,2/19/2021,4/21/2021,,,?
FCIU7507229,COSCO INDONESIA,,"Navi Mumbai, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","Long Beach, California, United States","Long Beach, California, United States",8/21/2019,8/29/2019,10/22/2019,10/30/2019,10/30/2019,4/21/2021,,,?
CMAU5056603,MONTE VERDE,,,"Beirut, Beyrouth, Lebanon","Lagos, Lagos State, Nigeria","Lagos, Lagos State, Nigeria",12/26/2020,12/26/2020,3/24/2021,4/14/2021,4/14/2021,4/21/2021,,,?
CMAU2159001,CMA CGM VIRGINIA,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/13/2021,5/14/2021,6/3/2021,6/15/2021,6/19/2021,6/20/2021,Yes,6/22/2021,?
XINU8237854,CMA CGM G.WASHINGTON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",6/16/2021,6/19/2021,8/8/2021,8/18/2021,8/22/2021,8/20/2021,Yes,8/23/2021,?
OOCU7810914,COSCO SHIPPING DENALI,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/23/2021,5/7/2021,5/23/2021,6/18/2021,6/22/2021,6/21/2021,Yes,6/23/2021,?
MSDU7022953,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/29/2021,5/29/2021,7/19/2021,7/16/2021,8/5/2021,7/22/2021,Yes,7/22/2021,?
CSNU7537120,OOCL TOKYO,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",3/14/2021,3/19/2021,4/4/2021,4/10/2021,4/14/2021,4/21/2021,,,?
OOCU8398294,COSCO SHIPPING ARIES,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",3/11/2021,3/20/2021,5/1/2021,5/4/2021,5/18/2021,4/21/2021,,,?
BEAU4536827,YM CELEBRITY,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",,,5/14/2021,,5/31/2021,4/21/2021,,,?
OOLU8616746,AMALIA C,,"Long Beach, California, United States","Long Beach, California, United States","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",4/17/2021,4/26/2021,5/10/2021,5/11/2021,5/27/2021,4/21/2021,,,?
CAAU5922805,MSC EVA,CIF,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/23/2021,5/23/2021,8/2/2021,8/7/2021,8/11/2021,8/8/2021,Yes,8/12/2021,?
EITU1898639,TOKYO TOWER,Evergreen,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",4/17/2021,4/17/2021,,7/10/2021,7/14/2021,7/15/2021,Yes,7/15/2021,?
TEMU8657717,CMA CGM ELBE,CIF,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",5/24/2021,5/25/2021,6/23/2021,6/30/2021,7/4/2021,8/16/2021,Yes,7/6/2021,?
MOAU7724393,ONE THESEUS,JAS,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",7/8/2021,7/17/2021,9/23/2021,7/30/2021,10/10/2021,10/12/2021,Yes,10/14/2021,?
TRHU4315140,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",7/17/2021,7/27/2021,8/13/2021,8/20/2021,8/24/2021,8/23/2021,Yes,8/26/2021,?
FFAU2729653,COSCO VALENCIA,Yuesheng,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",8/22/2021,8/31/2021,9/26/2021,9/27/2021,9/28/2021,9/25/2021,Yes,9/28/2021,?
MEDU8458754,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",7/22/2021,7/23/2021,9/3/2021,9/9/2021,9/10/2021,9/10/2021,Yes,9/10/2021,?
TCNU6074710,COSCO ITALY,CIF,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",6/12/2021,7/5/2021,7/29/2021,8/5/2021,8/9/2021,8/24/2021,Yes,8/9/2021,?
MEDU7194528,MSC AURIGA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/30/2021,5/31/2021,7/23/2021,7/20/2021,8/9/2021,7/30/2021,Yes,7/27/2021,?
SLSU8002037,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",7/21/2021,7/22/2021,9/8/2021,9/12/2021,9/16/2021,9/14/2021,Yes,9/17/2021,?
DRYU9282675,CMA CGM ALMAVIVA,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",8/4/2021,8/4/2021,9/1/2021,12/31/1899,9/18/2021,9/1/2021,Yes,9/8/2021,?
TCNU2966339,APL SENTOSA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",8/2/2021,8/8/2021,9/19/2021,9/27/2021,10/1/2021,9/25/2021,Yes,9/29/2021,?
MSMU5531686,MAERSK EMDEN,GSIT,"Mawan, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Los Angeles, California, United States",7/1/2021,7/1/2021,8/25/2021,9/1/2021,9/5/2021,9/4/2021,Yes,9/1/2021,?
tgbu4650083,,,,,,,,,,,,,,,?
OOCU8050890,,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",8/24/2021,8/24/2021,9/21/2021,9/29/2021,10/3/2021,9/30/2021,Yes,10/1/2021,?
TCNU7265373,ONE MANHATTAN,LF,"Dong Nai, , Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/5/2021,5/10/2021,6/3/2021,7/6/2021,7/10/2021,7/26/2021,Yes,7/13/2021,?
HMCU9035008,UNI-PATRIOT,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",3/21/2021,3/21/2021,,6/15/2021,6/19/2021,6/15/2021,Yes,6/15/2021,?
TCLU9144455,COSCO VENICE,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",6/3/2021,6/3/2021,,7/16/2021,7/20/2021,7/22/2021,Yes,7/14/2021,?
TGBU8560239,COSCO VENICE,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States",,5/27/2021,5/28/2021,7/9/2021,,7/26/2021,7/19/2021,Yes,7/20/2021,?
CSNU7586022,CMA CGM LYRA,Ningbo Yue Sheng Int¿l Freight,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Los Angeles, California, United States","Edgerton, Kansas, United States",6/16/2021,6/27/2021,7/24/2021,8/17/2021,8/21/2021,8/23/2021,,,?
CSLU6022545,COSCO NETHERLANDS,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",6/5/2021,6/12/2021,7/14/2021,7/22/2021,7/26/2021,8/23/2021,Yes,7/29/2021,?
TGBU6990740,ONE MANEUVER,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",6/25/2021,6/25/2021,,8/9/2021,8/13/2021,8/24/2021,,,?
TEMU 6412968,,,,,,,,,,,,,,,?
FCIU9179561,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",6/1/2021,6/2/2021,7/26/2021,7/24/2021,8/12/2021,8/24/2021,Yes,7/28/2021,?
CAIU9588936,,Axiom,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",7/5/2021,7/5/2021,7/26/2021,7/31/2021,8/4/2021,8/24/2021,Yes,8/3/2021,?
FSCU8966324,MAERSK ESSEX,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",4/23/2021,4/24/2021,6/16/2021,6/17/2021,7/3/2021,6/18/2021,,,?
MSDU8336202,MSC ALTAIR,MSC,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Long Beach, California, United States","Long Beach, California, United States",7/24/2021,7/29/2021,10/1/2021,10/7/2021,10/11/2021,10/19/2021,Yes,10/22/2021,?
CSNU7568820,,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/3/2021,5/3/2021,5/21/2021,,6/7/2021,7/12/2021,Yes,6/10/2021,?
GAOU6558161,ONE MARVEL,YUE SHENG,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",6/3/2021,6/19/2021,7/20/2021,7/14/2021,8/6/2021,8/24/2021,Yes,7/22/2021,?
OOLU8442080,COSCO ITALY,CIF,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",6/19/2021,7/5/2021,8/3/2021,8/10/2021,8/14/2021,8/24/2021,Yes,8/17/2021,?
DFSU1372583,,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",4/24/2021,4/24/2021,6/10/2021,,6/27/2021,6/29/2021,Yes,6/29/2021,?
